hindi,phon
शास्त्र, sh aa s t r @
शास्त्री, sh aa s t r ii
शास्त्रीय, sh aa s t r ii y @
शाह, sh aa h
शाहानां, sh aa h aa n aa
शाही, sh aa h ii
शाहीन, sh aa h ii n
शिकंजा, sh i k a n aa
शिकन, sh i k a n
शिकमी, sh i k m ii
शिकारा, sh i k r aa
शिकवा, sh i k v aa
शिकस्त, sh i k a s t
शिकस्ता, sh i k a s t aa
शिकाकाई, sh i k aa k aa ii
शिकायत, sh i k aa y a t
शिकायती, sh i k aa y @ t ii
शिकार, sh i k aa r
शिकारा, sh i k aa r aa
शिकारी, sh i k aa r ii
शिकारी, sh i k aa r ii
शिक्षक, sh i k sh a k
शिक्षण, sh i k sh a n
शिक्षणीय, sh i k sh @ n ii y @
शिक्षा, sh i k sh aa
शिक्षित, sh i k sh i t
शिक्षु, sh i k sh u
शिखंड, sh i kh a n dd
शिखंडिका, sh i kh a n dd i k aa
शिखंडी, sh i kh a n dd ii
शिखंडी, sh i kh a n dd ii
शिखर, sh i kh a r
शिखरी, sh i kh @ r ii
शिखा, sh i kh aa
शिखी, sh i kh ii
शिगाफ़, sh i g aa f
शिग़ाल, sh i Gh aa l
शिगूफ़ा, sh i g uu f aa
शिंजिन, sh i n i n
शिति, sh i t i
शिथिल, sh i th i l
शिथिलता, sh i th i l @ t aa
शिथिला-, sh i th i l aa -
शिथिलित, sh i th i l i t
शिद्दत, sh i d d a t
शिनाख़्त, sh i n aa x t
शिफ़ा, sh i f aa
शिया, sh i y aa
शियाई, sh i y aa ii
शिर, sh i r
शिरकत, sh i r k a t
शिरस्-, sh i r a s -
शिरा, sh i r aa
शिराल, sh i r aa l
शिरीष, sh i r ii sh
शिरो-, sh i r o -
शिला, sh i l aa
शिली, sh i l ii
शिलीभूत, sh i l ii bh uu t
शिल्प, sh i l p
शिल्पिक, sh i l p i k
शिल्पिता, sh i l p i t aa
शिल्पी, sh i l p ii
शिव, sh i v
शिवता, sh i v @ t aa
शिवा, sh i v aa
शिवानी, sh i v aa n ii
शिवाला, sh i v aa l aa
शिविका, sh i v i k aa
शिविर, sh i v i r
शिशिर, sh i sh i r
शिशु, sh i sh u
शिशुक, sh i sh u k
शिशुता, sh i sh u t aa
शिशुत्व, sh i sh u t v @
शिशुपन, sh i sh u p a n
शिश्न, sh i sh n
शिष्ट, sh i sh tt
शिष्टता, sh i sh tt @ t aa
शिष्य, sh i sh y @
शिष्यता, sh i sh y @ t aa
शिस्त, sh i s t
शीआ, sh ii aa
शीकर, sh ii k a r
शीघ्र, sh ii gh r @
शीघ्रता, sh ii gh r @ t aa
शीत, sh ii t
शीतता, sh ii t @ t aa
शीतल, sh ii t a l
शीतलता, sh ii t a l @ t aa
शीतलताई, sh ii t a l @ t aa ii
शीतला, sh ii t @ l aa
शीर-, sh ii r -
शीरा, sh ii r aa
शीराज़ा, sh ii r aa z aa
शीरनी, sh ii r n ii
शीरीन, sh ii r ii n
शीरीनी, sh ii r ii n ii
शीर्ण, sh ii r n
शीर्णता, sh ii r n @ t aa
शीर्ष, sh ii r sh
शीर्षक, sh ii r sh a k
शील, sh ii l
शीलता, sh ii l @ t aa
शीश-, sh ii sh -
शीश-, sh ii sh -
शीशम, sh ii sh a m
शीशा, sh ii sh aa
शीशी, sh ii sh ii
शीशों, sh ii sh o ~
शीशो, sh ii sh o
शुंठ, sh u n tth
शुंठी, sh u n tth ii
शुंड, sh u n dd
शुंभ, sh u m bh @
शुक, sh u k
शुक्ति, sh u k t i
शुक्र, sh u k r
शुक्र, sh u k r
शुक्रिया, sh u k r i y aa
शुक्ल, sh u k l @
शुक्लता, sh u k l @ t aa
शुगन, sh u g a n
शुग़ल, sh u Gh l
शुगून, sh u g uu n
शुचि, sh u c i
शुचित, sh u c i t
शुचिता, sh u c i t aa
शुतुर, sh u t u r
शुदकार, sh u d k aa r
-शुदा, - sh u d aa
शुद्ध, sh u d dh
शुद्धता, sh u d dh @ t aa
शुद्धि, sh u d dh i
शुद्धीकरण, sh u d dh ii k a r a n
सुबहा, s u b  h aa
शुभ, sh u bh
शुभ्र, sh u bh r @
शुभ्रता, sh u bh r @ t aa
शुमार, sh u m aa r
शुमारी, sh u m aa r ii
शुमाल, sh u m aa l
शुरवाल, sh u r v aa l
शुरुआत, sh u r u aa t
शुरुआती, sh u r u aa t ii
शुरू, sh u r uu
शुल्क, sh u l k
शुश, sh u sh
शुशकारना, sh u sh k aa r n aa
शुष्क, sh u sh k
शुष्कता, sh u sh k @ t aa
शूक-, sh uu k
शूकर, sh uu k a r
शूकरी, sh uu k @ r ii
शूद्र, sh uu d r @
शूद्रता, sh uu d r @ t aa
शूद्राणी, sh uu d r aa n ii
शून्य, sh uu n y @
शून्यता, sh uu n y @ t aa
शून्यत्व, sh uu n y a t v @
शूर, sh uu r
शूरण, sh uu r a n
शूरता, sh uu r @ t aa
शूर्प, sh uu r p
शूर्पी, sh uu r p ii
शूल, sh uu l
शूली, sh uu l ii
शृंखल, sh r i ~ kh a l
शृंखला, sh r i ~ kh @ l aa
शृखलित, sh r i ~ kh @ l i t
शृंग, sh r i ng g
शृंगार, sh r i ng g aa r
शृंगारिक, sh r i ng g aa r i k
शृंगारिकता, sh r i ng g aa r i k @ t aa
शृंगारी, sh r i ng g aa r ii
शृगाल, sh r i g aa l
शृंगी, sh r i ng g ii
शेख़, sh e x
शेखर, sh e kh a r
शेख़ी, sh e x ii
शेफाली, sh e ph aa l ii
शेर, sh e r
शेर, sh e r
शेरनी, sh e r n ii
शेराना, sh e r aa n aa
शेरी, sh e r ii
शेवाल, sh e v aa l
शेष, sh e sh
शै, sh E
शै, sh E
शैक्षणिक, sh E k sh @ n i k
शैक्षिक, sh E k sh i k
शैक्ष्य, sh E k sh y @
शैतान, sh E t aa n
शैतानी, sh E t aa n ii
शैत्य, sh E t y @
शैथिल्य, sh E th i l y @
शैदा, sh E d aa
शैदाई, sh E d aa ii
शैल, sh E l
शैली, sh E l ii
शैलेय, sh E l e y
शैव, sh E v
शैवाल, sh E v aa l
शैशव, sh E sh a v
शोआ, sh o aa
शोक, sh o k
शोकी, sh o k ii
शोख़, sh o x
शोख़ी, sh o x ii
शोच, sh o c
शोचन, sh o c a n
शोचनीय, sh o c @ n ii y @
शोचित, sh o c i t
शोणित, sh o n i t
शोथ, sh o th
शोध, sh o dh
शोधक, sh o dh a k
शोधन, sh o dh a n
शोधना, sh o dh n aa
शोधनी, sh o dh @ n ii
शोधनीय, sh o dh @ n ii y @
शोभन, sh o bh a n
शोभना, sh o bh n aa
शोभनीय, sh o bh @ n ii y @
शोभा, sh o bh aa
शोभायमान, sh o bh aa y @ m aa n
शोभित, sh o bh i t
शोर, sh o r
शोरबा, sh o r b aa
शोरा, sh o r aa
शोला, sh o l aa
शोला, sh o l aa
शोशा, sh o sh aa
शोष, sh o sh
शोषक, sh o sh a k
शोषण, sh o sh a n
शोषित, sh o sh i t
शोहदा, sh o h d aa
शोहदापन, sh o h d aa p a n
शोहरत, sh o h r a t
शौक़, sh O q
शौकत, sh O k a t
शौक़िया, sh O q i y aa
शौक़ीन, sh O q ii n
शौक़ीनी, sh O q ii n ii
शौच, sh O c
शौनिक, sh O n i k
शौर्य, sh O r y @
शौहर, sh O h a r
शौहरी, sh O h @ r ii
श्मशान, sh m a sh aa n
श्मशानक, sh m a sh aa n a k
श्मशानी, sh m a sh aa n ii
श्मश्रु, sh m a sh r u
श्याम, sh y aa m
श्यामता, sh y aa m @ t aa
श्यामल, sh y aa m a l
श्यामला, sh y aa m @ l aa
श्यामली, sh y aa m @ l ii
श्यामा, sh y aa m aa
श्यामायमान, sh y aa m aa y @ m aa n
श्याल, sh y aa l
श्याल, sh y aa l
श्यालक, sh y aa l a k
श्येन, sh y e n
श्रद्धा, sh r a d dh aa
श्रद्धालु, sh r a d dh aa l u
श्रद्धालुता, sh r a d dh aa l u t aa
श्रद्धेय, sh r a d dh e y @
श्रप, sh r a p
श्रम, sh r a m
श्रमण, sh r a m a n
श्रमिक, sh r a m i k
श्रमित, sh r a m i t
श्रमी, sh r a m ii
श्रवण, sh r a v a n
श्रवणा, sh r a v @ n aa
श्रविष्ठा, sh r a v i sh tth aa
श्रव्य, sh r a v y @
श्रव्यता, sh r a v y @ t aa
श्रांत, sh r aa n t
श्रांति, sh r aa n t i
श्राद्ध, sh r aa d dh
श्राप, sh r aa p
श्रावक, sh r aa v a k
श्रावण, sh r aa v a n
श्रावणी, sh r aa v @ n ii
श्री, sh r ii
श्रुत, sh r u t
श्रुति, sh r u t i
श्रेणी, sh r e n ii
श्रेय, sh r e y
श्रेयस्-, sh r e y a s -
श्रेष्ठ, sh r e sh tth
श्रेष्ठता, sh r e sh tth @ t aa
श्रेष्ठी, sh r e sh tth ii
श्रोणी, sh r o n ii
श्रोत, sh r o t
श्रोतव्य, sh r o t a v y @
श्रोता, sh r o t aa
श्रोत्र, sh r o t r @
श्लथ, sh l a th
श्लाघन, sh l aa gh a n
श्लाघनीय, sh l aa gh @ n ii y @
श्लाघा, sh l aa gh aa
श्लाघ्य, sh l aa gh y @
श्लील, sh l ii l
श्लेष, sh l e sh
श्लेष्मा, sh l e sh m aa
श्लोक, sh l o k
श्वपच, sh v a p a c
श्वशुर, sh v a sh u r
श्वश्रू, sh v a sh r uu
श्वान, sh v aa n
श्वानी, sh v aa n ii
श्वापद, sh v aa p a d
श्वास, sh v aa s
श्वेत, sh v e t
श्वेतता, sh v e t @ t aa
श्वेती, sh v e t ii
ष, sh a
षट्-, sh a tt -
षड्-, sh a dd -
षन-, sh a n -
षष्ट, sh a sh tt
षष्टि, sh a sh tt i
षष्ठ, sh a sh tth
षष्ठी, sh a sh tth ii
स, s a
शंक-, sh a ~ k -
संकट, s a ng - k a tt
सँकड़ा, s a ~ k rr aa
सँकड़ाना, s a ~ k rr aa n aa
संकर, s a ng - k a r
संकर्षण, s a ng - k a r sh a n
संकल, s a ~ k a l
संकल, s a ng - k a l
संकलन, s a ng - k a l a n
संकलप-, s a ng - k a l p -
संकलित, s a ng - k a l i t
सँकली, s a ~ k l ii
संकल्प, s a ng - k a l p
संकल्प-, s a ng - k a l p -
संकल्पना, s a ng - k a l p @ n aa
संकल्पित, s a ng - k a l p i t
संकाय, s a ng - k aa y
संकार, s a ng - k aa r
संकारना, s a ~ k aa r n aa
संकास, s a ng - k aa s
संकीर्ण, s a ng - k ii r n
संकीर्णता, s a ng - k ii r n @ t aa
संकीर्तन, s a ng - k ii r t a n
संकुचित, s a ng - k u c i t
संकुल, s a ng - k u l
संकुलता, s a ng - k u l @ t aa
संकुलित, s a ng - k u l i t
संकुश, s a ~ k u sh
संकेत, s a ng - k e t
संकेतन, s a ng - k e t a n
संकेतित, s a ng - k e t i t
संकोच, s a ng - k o c
संकोचन, s a ng - k o c a n
संकोचित, s a ng - k o c i t
संकोची, s a ng - k o c ii
संक्रम, s a ng - k r a m
संक्रमण, s a ng - k r a m a n
संक्रांत, s a ng - k r aa n t
संक्रांति, s a ng - k r aa n t i
संक्रामक, s a ng - k r aa m a k
संक्रिया, s a ng - k r i y aa
संक्षय, s a ng - k sh a y
संक्षिप्त, s a ng - k sh i p t
संक्षिप्ति, s a ng - k sh i p t i
संक्षेप, s a ng - k sh e p
संक्षेपक, s a ng - k sh e p a k
संक्षेपण, s a ng - k sh e p a n
संक्षोभ, s a ng - k sh o bh
संखा, s a ~ kh aa
संखिया, s a ~ kh i y aa
संख्या, s a ng - kh y aa
संख्येय, s a ng - kh y e y @
संग, s a ng g
संग, s a ng g
संगठन, s a ng - g a tth a n
संगठित, s a ng - g a tth i t
संगत, s a ng - g a t
संगतरा, s a ng g t a r aa
संगति, s a ng - g a t i
संगतिया, s a ng - g a t i y aa
संगम, s a ng - g a m
संगमन, s a ng - g a m a n
संगर, s a ng - g a r
सँगवान, s a ng g v aa n aa
संगाती, s a ng g aa t ii
संगी, s a ng g ii
संगी, s a ng g ii
संगीत, s a ng - g ii t
संगीन, s a ng g ii n
संगीनी, s a ng g ii n ii
संगोपन, s a ng - g o p a n
संगोष्ठि, s a ng - g o sh tth i
संग्रह, s a ng - g r a h
संग्रहण, s a ng - g r a h a n
संग्रहणी, s a ng - g r a h @ n ii
संग्रहणीय, s a ng - g r a h @ n ii y @
संग्रही, s a ng - g r a h ii
संग्रहीत, s a ng - g r a h ii t
संग्रह्य, s a ng - g r a h y @
संग्राम, s a ng - g r aa m
संग्राहक, s a ng - g r aa h a k
संघ, s a ng - gh
संघट, s a ng - gh a tt
संघटन, s a ng - gh a tt a n
संघटित, s a ng - gh a tt i t
संघटित, s a ng - gh a tt i t
संघर्ष, s a ng - gh a r sh
संघर्षी, s a ng - gh a r sh ii
संघात, s a ng - gh aa t
संघाती, s a ng - gh aa t ii
संघार, s a ng gh aa r
संघीय, s a ng gh ii y @
संचन, s a n c a n
संचना, s a n c n aa
संचय, s a n - c a y
संचयन, s a n - c a y a n
संचयी, s a n - c a y ii
सँचर-, s a n c a r -
संचरण, s a n - c a r a n
संचलन, s a n - c a l a n
संचार, s a n - c aa r
संचारण, s a n - c aa r a n
संचारिका, s a n - c aa r i k aa
संचारित, s a n - c aa r i t
संचारी, s a n - c aa r ii
संचालन, s a n - c aa l a n
संचित, s a n - c i t
संचेत, s a n - c e t
संजात, s a n - j aa t
संजीदा, s a n ii d aa
संजीवन, s a n - j ii v a n
संजीवनी, s a n - j ii v @ n ii
संजीवी, s a n - j ii v ii
सँजोना, s a n j o n aa
संज्ञा, s a ng - g y aa
संज्ञात, s a ng - g y aa t
संज्ञापन, s a ng - g y aa p a n
संज्ञित, s a ng - g y i t
सँझना, s a ~ jh n aa
सँझला, s a ~ jh l aa
सँझला, s a ~ jh l aa
सँझा, s a ~ jh aa
सँटिया, s a n tt i y aa
संठ, s a n tth
संड-मुसंड, s a n dd - m u s a n dd
सँड़सी, s a ~ rr s ii
संडा, s a n dd aa
संडास, s a n dd aa s
सँड़ासा, s a ~ rr aa s aa
सँड़ासी, s a ~ rr aa s ii
सँड़ियाना, s a ~ rr i y aa n aa
संत, s a n t
संतत, s a n - t a t
संतति, s a n - t a t i
संतना, s a n t @ n aa
संतनु, s a n - t a n u
संतप्त, s a n - t a p t
संतरण, s a n - t a r a n
संतरा, s a n t r aa
संतरी, s a n t r ii
संतान, s a n - t aa n
संताप, s a n - t aa p
संतापित, s a n - t aa p i t
संतापी, s a n - t aa p ii
संती, s a n t ii
संतुलन, s a n - t u l a n
संतुलित, s a n - t u l i t
संतुष्ट, s a n - t u sh tt
संतुष्टता, s a n - t u sh tt @ t aa
संतुष्टि, s a n - t u sh tt i
संतै, s a n t E
संतोष, s a n - t o sh
संतोषी, s a n - t o sh ii
संथा, s a n th aa
संद, s a n d
संदर्भ, s a n - d a r bh
संदर्शन, s a n - d a r sh a n
संदर्शिका, s a n - d a r sh i k aa
संदल, s a n d a l
संदली, s a n d @ l ii
संदा, s a n d aa
संदान, s a n d aa n
संदान, s a n - d aa n
संदिग्ध, s a n - d i g dh
संदिग्धता, s a n - d i g dh @ t aa
संदीपन, s a n - d ii p a n
संदीप्त, s a n - d ii p t
संदूक़, s a n d uu q
संदूक़चा, s a n d uu q c aa
संदूक़ची, s a n d uu q c ii
संदूरिया, s a n d uu r i y aa
संदूषण, s a n - d uu sh a n
संदूषित, s a n - d uu sh i t
संदेश, s a n - d e sh
संदेशी, s a n - d e sh ii
सँदेसा, s a n d e s aa
संदेह, s a n - d e h
संदेही, s a n - d e h ii
संदोह, s a n - d o h
संधव, s a n dh a v
संधा, s a n - dh aa
संधान, s a n - dh aa n
संधाना, s a n dh aa n aa
संधानी, s a n dh aa n ii
संधि, s a n - dh i
संधित, s a n - dh i t
संध्या, s a n - dh y aa
संन्यस्त, s a n - n y - a s t
संन्यास, s a n - n y - aa s
संन्यासिन, s a n - n y - aa s i n
संन्यासी, s a n - n y - aa s ii
संपत्ति, s a m - p a t t i
संपद, s a m - p a d
संपदा, s a m - p a d aa
संपन्न, s a m - p a n n
संपन्नता, s a m - p a n n @ t aa
संपर्क, s a m - p a r k
संताप, s a m - p aa t
संपाति, s a m - p aa t i
संपातिक, s a m - p aa t i k
संपादक, s a m - p aa d a k
संपादकत्व, s a m - p aa d @ k a t v @
संपादन, s a m - p aa d a n
संपादित, s a m - p aa d i t
सँपारना, s a m p aa r n aa
सँपारा, s a m p aa r aa
संपुट, s a m - p u tt
संपुटी, s a m - p u tt ii
संपूर्ण, s a m - p uu r n
संपूर्णता, s a m - p uu r n @ t aa
संपृक्त, s a m - p r i k t
सँपेरा, s a m p e r aa
सँपोला, s a m p o l aa
सँपोलिया, s a m p o l i y aa
सँपोली, s a m p o l ii
संप्रति, s a m - p r a t i
संप्रदान, s a m - p r a - d aa n
संप्रदाय, s a m - p r a - d aa y
संप्रदायी, s a m - p r a - d aa y ii
संप्राप्त, s a m - p r aa p t
संप्राप्ति, s a m - p r aa p t i
संप्रीति, s a m - p r ii t i
संप्रेषण, s a m - p r e sh a n
संप्रेषणीयता, s a m - p r e sh @ n ii y @ t aa
संबंध, s a m - b a n dh
संबंधता, s a m - b a n dh @ t aa
संबंधित, s a m - b a n dh i t
संबंधी, s a m - b a n dh ii
संबद्ध, s a m - b a d dh
संबद्धता, s a m - b a d dh @ t aa
संबल, s a m - b a l
संबुद्ध, s a m - b u d dh
संबोधन, s a m - b o dh a n
संबोंधित, s a m - b o dh i t
संभरण, s a m - bh a r a n
सँभलंना, s a m bh a l n aa
सँभला, s a m bh l aa
संभलाना, s a m bh l aa n aa
संभव, s a m - bh a v
संभाग, s a m - bh aa g
संभार, s a m - bh aa r
सँभार-, s a m bh aa r -
सँभारना, s a m bh aa r n aa
सँभाल, s a m bh aa l
सँभालना, s a m bh aa l n aa
सँभाला, s a m bh aa l aa
सँभालू, s a m bh aa l uu
संभावना, s a m - bh aa v @ n aa
संभावनीय, s a m - bh aa v @ n ii y @
संभावित, s a m - bh aa v i t
संभाव्य, s a m - bh aa v y @
संभाषण, s a m - bh aa sh a n
संभाषी, s a m - bh aa sh ii
संभूत, s a m - bh uu t
संभूति, s a m - bh uu t i
संभोग, s a m - bh o g
संभोगी, s a m - bh o g ii
संभोग्य, s a m - bh o g y @
संभोजन, s a m - bh o j a n
संभ्रम, s a m - bh r a m
संभ्रांत, s a m - bh r aa n t
संभ्रांति, s a m - bh r aa n t i
संयंत्र, s a ~ - y a n t r @
संयत, s a ~ - y a t
संयत, s a ~ - y a t
संयम, s a ~ - y a m
संयमी, s a ~ - y a m ii
संयुक्त, s a ~ - y u k t
संयुग, s a ~ - y u g
संयुत, s a ~ - y u t
संयुति, s a ~ - y u t i
संयोग, s a ~ - y o g
संयोजक, s a ~ - y o j a k
संयोजकता, s a ~ - y o j a k @ t aa
संयोजन, s a ~ - y o j a n
संयोजना, s a ~ - y o j @ n aa
संयोजित, s a ~ - y o j i t
संरक्षक, s a ~ - r a k sh a k
संरक्षण, s a ~ - r a k sh a n
संरक्षा, s a ~ - r a k sh aa
संरक्षित, s a ~ - r a k sh i t
संरचना, s a ~ - r a c @ n aa
संलग्न, s a ~ - l a g n
संलग्नक, s a ~ - l a g n a k
संलाप, s a ~ - l aa p
संलेख, s a ~ - l e kh
संवत्, s a ~ - v a t
संवत्सर, s a ~ - v a t s a r
संवरण, s a ~ - v a r a n
संवरण, s a ~ - v a r a n
सँवरना, s a ~ v a r n aa
संवर्धन, s a ~ - v a r dh a n
संवलित, s a ~ - v a l i t
संवात, s a ~ - v aa t
संवातित, s a ~ - v aa t i t
संवाद, s a ~ - v aa d
संवादक, s a ~ - v aa d a k
संवादी, s a ~ - v aa d ii
सँवार, s a ~ v aa r
सँवारना, s a ~ v aa r n aa
संविधान, s a ~ - v i dh aa n
संविधानिक, s a ~ - v i dh aa n i k
संवेदन, s a ~ - v e d a n
संवेदना, s a ~ - v e d @ n aa
संवेदी, s a ~ - v e d ii
संशय, s a n - sh a y
संशयालु, s a n - sh a y aa l u
संशयित, s a n - sh a y i t
संशयी, s a n - sh a y ii
संशोधक, s a n - sh o dh a k
संशोधन, s a n - sh o dh a n
संशोधित, s a n - sh o dh i t
संश्रय, s a n - sh r a y
संश्रित, s a n - sh r i t
संश्लिष्ट, s a n - sh l i sh tt
संश्लेषण, s a n - sh l e sh a n
संसक्त, s a n - s a k t
संसक्ति, s a n - s a k t i
संसद, s a n - s a d
संसदीय, s a n s a d ii y @
संसर्ग, s a n - s a r g
संसर्गी, s a n - s a r g ii
संसा, s a n s aa
संसाधन, s a n - s aa dh a n
संसार, s a n - s aa r
संसारा, s a n s aa r aa
संसारी, s a n - s aa r ii
संसी, s a n s ii
संसृति, s a n - s r i t i
संस्करण, s a n - s k a r a n
संस्कार, s a n - s k aa r
संस्कृत, s a n - s k r i t
संस्कृति, s a n - s k r i t i
संस्था, s a n - s th aa
संस्थान, s a n - s th aa n
संस्थापक, s a n - s th aa p a k
संस्थापन, s a n - s th aa p a n
संस्थापित, s a n - s th aa p i t
संस्पर्श, s a n - s p a r sh
संस्पृष्ट, s a n - s p r i sh tt
संहत, s a ~ - h a t
संहति, s a ~ - h a t i
संहार, s a ~ h aa r
सँहार-, s a ~ h aa r -
संहारक, s a ~ - h aa r a k
संहारित, s a ~ - h aa r i t
संहित, s a ~ - h i t
संहिता, s a ~ - h i t aa
स-, s a -
सआदत, s a aa d a t
सकंटक, s a - k a n tt a k
सकट, s a k a tt
सकट, s a - k a tt
सकड़-दादा, s a k a rr - d aa d aa
सकड़-नाना, s a k a rr - n aa n aa
सकत, s a k a t
सकता, s a k t aa
सकता, s a k t aa
सकना, s a k n aa
सकपकाना, s a k p a k aa n aa
सकरा, s a k r aa
सकरा, s a k r aa
सकराई, s a k r aa ii
सकराई, s a k r aa ii
सकरुण, s a - k a r u n
सकर्मक, s a - k a r m a k
सकल, s a k a l
सका, s a k aa
सका-, s a k aa -
सकाम, s a - k aa m
सकारण, s a - k aa r a n
सकारना, s a k aa r n aa
सकारा, s a k aa r aa
सकारात्मक, s a k aa r aa t m a k
सकारे, s a k aa r e
सकाल, s a - k aa l
सकाली, s a k aa l ii
सकाले, s a k aa l e
सकिल-, s a k i l -
सकुच, s a k u c
सकुचना, s a k u c n aa
सकुचाना, s a k u c aa n aa
सकुचाई, s a k u c aa ii
सकुचीला, s a k u c ii l aa
सकुचौंह-, s a k u c O ~ h -
सकुल, s a - k u l
सकुल्य, s a - k u l y @
सकृत्, s a k r i t
सकेड़ना, s a k e rr n aa
सकेत, s a k e t
सकेतना, s a k e t n aa
सकेती, s a k e t ii
सकेरना, s a k e r n aa
सकेलना, s a k e l n aa
सकेला, s a k e l aa
सकोप, s a - k o p
सकोप-, s a - k o p -
सकोरा, s a k o r aa
सकोरी, s a k o r ii
सकोह, s a - k o h
सक्कस, s a k k a s
सक़्क़ा, s a q q aa
सक्खड़ई, s a k kh a rr a ii
सक्ति, s a k t i
सक्थि, s a k th i
सक्रिय, s a - k r i y @
सक्षम, s a - k sh a m
सक्षमता, s a - k sh a m @ t aa
सख, s a kh
सखरा, s a kh r aa
सखरी, s a kh r ii
सखा, s a kh aa
सखि, s a kh i
सखी, s a kh ii
सख़्त, s a x t
सख़्ती, s a x t ii
सख्य, s a kh y @
सगंध, s a - g a n dh
सगड़ी, s a g rr ii
सगण, s a - g a n
सगरा, s a g r aa
सगर्भ, s a - g a r bh
सगर्भ्य, s a - g a r bh y @
सगर्व, s a - g a r v
सगा, s a g aa
सगाई, s a g aa ii
सगुण, s a - g u n
सगुणी, s a - g u n ii
सगुनिया, s a g u n i y aa
सगुनौती, s a g u n O t ii
सगोत्र, s a - g o t r @
सगोत्रता, s a - g o t r @ t aa
सग्गड़, s a g g a rr
सघन, s a - gh a n
संघनता, s a - gh a n @ t aa
संघार, s a ng gh aa r
सच, s a c
सच्-, s a c -
सचराचर, s a - c a r aa c a r
सचल, s a - c a l
सचाई, s a c aa ii
सचान, s a c aa n
सचावट, s a c aa v a tt
सचाहट, s a c aa h a tt
सचिंत, s a - c i n t
सचि, s a c i
सचित्र, s a - c i t r
सचिव, s a c i v
सचु, s a c u
सचेत, s a - c e t
सचेतक, s a - c e t a k
सचेतन, s a - c e t a n
सचेतनता, s a - c e t a n @ t aa
सचेष्ट, s a - c e sh tt
सचौटी, s a c O tt ii
सच्च, s a c c
सच्चा, s a c c aa
सच्चाई, s a c c aa ii
सच्चापन, s a c c aa p a n
सच्चिदानंद, s a c - c i d - aa n a n d
सज, s a j
सज्-, s a j -
सजंजल, s a j a n a l
सजग, s a - j a g
सजगता, s a - j a g @ t aa
सजना, s a j n aa
सजनी, s a j @ n ii
सजमन, s a j m a n
सजल, s a - j a l
सजवाना, s a j v aa n aa
सज़ा, s a z aa
सजाई, s a j aa ii
सजात, s a - j aa t
सजाति, s a - j aa t i
सजातीयता, s a - j aa t ii y @
सजातीयता, s a - j aa t ii y @ t aa
सजाना, s a j aa n aa
सजाव, s a j aa v
सजावट, s a j aa v a tt
सजावटी, s a j aa v @ tt ii
सज़ावल, s a z aa v a l
सज़ावली, s a z aa v @ l ii
सजीला, s a j ii l aa
सजीलापन, s a j ii l aa p a n
सजीव, s a - j ii v
सजीवता, s a - j ii v @ t aa
सजीवन, s a j ii v a n
सजोना, s a j o n aa
सज्जन, s a j j a n
सज्जनता, s a j j a n @ t aa
सज्जना, s a j j @ n aa
सज्जा, s a j j aa
सज्जाद, s a j j aa d
सज्जादा, s a j j aa d aa
सज्जित, s a j j i t
सज्जी, s a j j ii
सज्ञात, s a - g y aa t
सज्ञान, s a - g y aa n
सज्ञानता, s a - g y aa n @ t aa
सज्ञानी, s a - g y aa n ii
सट, s a tt
सटक, s a tt a k
सटक, s a tt a k
सटकना, s a tt a k n aa
सटकना, s a tt a k n aa
सटकाना, s a tt k aa n aa
सटकाना, s a tt k aa n aa
सटकार-, s a tt k aa r -
सटकारी, s a tt k aa r ii
सटना, s a tt n aa
सटपट, s a tt p a tt
सटपटाना, s a tt p a tt aa n aa
सटर-पटर, s a tt a r - p a tt a r
सटल्लो, s a tt a l l o
सटाना, s a tt aa n aa
सटाव, s a tt aa v
सटासट, s a tt aa s a tt
सटासट, s a tt aa s a tt
सटिया, s a tt i y aa
सटी, s a tt ii
सटीक, s a - tt ii k
सटीक, s a tt ii k
सटोरिया, s a tt o r i y aa
सट्टा, s a tt tt aa
सट्टी, s a tt tt ii
सठियाना, s a tth i y aa n aa
सठोरा, s a tth o r aa
सड़क, s a rr a k
सड़क्का, s a rr a k k aa
सड़न, s a rr a n
सड़ना, s a rr n aa
सड़पना, s a rr a p n aa
सड़प्पा, s a rr a p p aa
सड़म, s a rr a m
सड़ाँध, s a rr aa n dh
सड़ान, s a rr aa n
सड़ाना, s a rr aa n aa
सड़ायँध, s a rr aa y a n dh
सड़ासड़, s a rr aa s a rr
सड़ाहँद, s a rr aa h a n d
सड़ियल, s a rr i y a l
सत्, s a t
सत, s a t
सत, s a t
सत, s a t
सत-, s a t -
सतत, s a t a t
सतर, s a t r
सतर, s a t r
सतरा-, s a t r aa -
सतर्क, s a - t a r k
सतर्कता, s a - t a r k @ t aa
सतवंती, s a t v a n t ii
सतवाँसा, s a t v aa n s aa
सतह, s a t a h
सतहत्तर, s a t  h a t t a r
सतही, s a t  h ii
सताऊ, s a t aa uu
सताना, s a t aa n aa
सतालू, s a t aa l uu
सतावर, s a t aa v a r
सती, s a t ii
सतीत्व, s a t ii t v @
सतील, s a t ii l
सतुआ, s a t u aa
सतून, s a t uu n
सतूना, s a t uu n aa
सतोगुण, s a t o g u n
सतोड़ा, s a t o rr aa
संत्त, s a t t
सत्तमी, s a t t @ m ii
सत्तर, s a t t a r
सत्तरवाँ, s a t t a r v aa ~
सत्तरह, s a t t r a h
सत्तरा-बहत्तरा, s a t t r aa - b a h a t t r aa
