punjabi,phon
ਫਾਂਚਾ,ph aa ng c aa
ਫੰਦ,ph a ng d
ਫੰਦਾ,ph a ng d aa
ਫੰਦਣ,ph a ng d a nn
ਫੰਡਰ,ph a ng dd a r
ਫੰਡਾਉਣਾ,ph a ng dd aa u nn aa
ਫੰਧਾ,ph a ng dh aa
ਫੰਧਕ,ph a ng dh a k
ਫੰਧੁਕ,ph a ng dh u k
ਫਾਂਧਣ,ph aa ng dh a nn
ਫਾਂਧੀ,ph aa ng dh ii
ਫੰਧਣਾ,ph a ng dh nn aa
ਫੰਦਣਾ,ph a ng d nn aa
ਫੰਡਣਾ,ph a ng dd nn aa
ਫੰਗਣ,ph a ng g g a nn
ਫੰਗੁਣ,ph a ng g g u nn
ਫੰਘ,ph a ng g gh
ਫਾਂਕ,ph aa ng k
ਫਾਂਕਡ਼,ph aa ng k a rr
ਫਾਂਕਡ਼ਾ,ph aa ng k rr aa
ਫਾਂਕਡ਼ੀ,ph aa ng k rr ii
ਫਾਂਕਡ਼ੀਆ,ph aa ng k rr ii aa
ਫਨਯਰ,ph a n y a r
ਫਣੀ,ph a nn ii
ਫਾੱਨਾ,ph aa n n aa
ਫਾੱਨਾਂ,ph aa n n aa ng
ਫੱਨੂ,ph a n n uu
ਫਣਫਣਾ,ph a nn ph a nn aa
ਫਣਫਣਾਉਣਾ,ph a nn ph a nn aa u nn aa
ਫਾਂਸੀ,ph aa ng s ii
ਫਾਂਟ,ph aa ng tt
ਫਪਰਚੋਰ,ph a p a r c o r
ਫਾਫਰ,ph aa ph a r
ਫਫਡ਼ਤਾਲੀਆ,ph a ph a rr t aa l ii aa
ਫਫਿਆਉਣਾ,ph a ph i aa u nn aa
ਫਫੋਰ,ph a ph o r
ਫਫਰਾ,ph a ph r aa
ਫਾਫਰਾ,ph aa ph r aa
ਫਫਡ਼ੇ,ph a ph rr e
ਫਰ,ph a r
ਫਡ਼,ph a rr
ਫਾਡ਼,ph aa rr
ਫਾਡ਼ਾ,ph aa rr aa
ਫਰਾ,ph a r aa
ਫਰਾਰਾ,ph a r aa h aa
ਫਰਾਹੀ,ph a r aa h ii
ਫੱਰਗਰਾ,ph a r a g g a r aa
ਫਡ਼ਾਈ,ph a rr aa ii
ਫਰਾਕਾ,ph a r aa k aa
ਫਰੱਕਾ,ph a r a k k aa
ਫਰਕਣਾ,ph a r a k nn aa
ਫਡ਼ਕਣਾ,ph a rr a k nn aa
ਫਰਨ,ph a r a n
ਫਰਡ਼,ph a r a rr
ਫਡ਼ਾਊ,ph a rr aa uu
ਫਡ਼ਾਉਣਾ,ph a rr aa u nn aa
ਫਰਬਾ,ph a r b aa
ਫਰਦਾ,ph a r d aa
ਫਡ਼੍ਹ,ph a rrh
ਫਰ੍ਹ,ph a r h
ਫਰਹੀ,ph a r h ii
ਫਰਹੋ,ph a r h o
ਫਾਡ਼ੀ,ph aa rr ii
ਫਰੀ,ph a r ii
ਫਰਜੀ,ph a r j ii
ਫਰਕਾ,ph a r k aa
ਫਡ਼ਕਾ,ph a rr k aa
ਫਡ਼ਕਾਉਣਾ,ph a rr k aa u nn aa
ਫਡ਼ਕਾਉਣਾ,ph a r k aa u nn aa
ਫਡ਼ਕੀ,ph a rr k ii
ਫਡ਼ਕਣਾ,ph a rr k nn aa
ਫਰਮਾ,ph a r m aa
ਫਰਮ੍ਵਣਾ,ph a r m h nn aa
ਫਡ਼ਣਾ,ph a rr nn aa
ਫਡ਼ਲੈਣਾ,ph a rr l E nn aa
ਫਾਡ਼ਣਾ,ph aa rr nn aa
ਫਰਨਾਹੀ,ph a r n aa h ii
ਫਰਨਾਹੁਣਾ,ph a r n a h u nn aa
ਫਰੋ,ph a r o
ਫਰੋਲਣਾ,ph a r o l nn aa
ਫਰਫੰਦ,ph a r ph a ng d
ਫਰਫੰਦਣ,ph a r ph a ng d a nn
ਫਰਫੰਦੀ,ph a r ph a ng d ii
ਫਡ਼ਫਡ਼ਾਟ,ph a rr ph a rr aa tt
ਫਡ਼ਫਡ਼ਾਉਣਾ,ph a r ph a rr aa u nn aa
ਫਡ਼ਫਡ਼ਯਾ,ph a rr ph a rr y aa
ਫਰਸ,ph a r s
ਫਰਸ਼,ph a r sh
ਫਡ਼ਸ,ph a rr s
ਫਡ਼ਸਾਂ,ph a r sh ii
ਫਰਸੀ,ph a r s ii
ਫਰਸ਼ੀ,ph a r sh ii
ਫਾਡ਼ੂ,ph aa rr uu
ਫਰਵਾਂਹ,ph a r v aa ng h
ਫਡ਼ਯਾ,ph a rr y aa
ਫਸਾਈ,ph a s aa ii
ਫਸੱਕਡ਼,ph a s a k k a rr
ਫਸਾਊ,ph a s aa uu
ਫਸਾਉ,ph a s aa u
ਫਸਾਉਣਾ,ph a s aa u nn aa
ਫਸਕਾ,ph a s k aa
ਫਸਣਾ,ph a s nn aa
ਫਸਫਸਾਉ,ph a s ph a s aa u
ਫਸਰੂਕ,ph a s r uu k
ਫੱਸਡ਼ਾ,ph a s s rr aa
ਫਸਤਾ,ph a s t aa
ਫਟ,ph a tt
ਫਾਟ,ph aa tt
ਫਟ,ph a tt
ਫਾਟਕ,ph aa tt a k
ਫਟਕ,ph a tt a k
ਫਟਾਕਾ,ph a tt aa k aa
ਫਟਕਣਾ,ph a tt a k nn aa
ਫਟਣ,ph a tt a nn
ਫਤੇ,ph a t e
ਫਤਿੱਕ,ph a t i k k
ਫਟਕਾ,ph a tt k aa
ਫਟਕਣ,ph a tt k a nn
ਫਟਕੁਣ,ph a tt k u nn
ਫਟਕਡ਼ੀ,ph a tt k a rr ii
ਫਟਕਾਰਣਾ,ph a tt k aa r nn aa
ਫਟਕਾਉਣਾ,ph a tt k aa u nn aa
ਫਤਮੇਰ,ph a t m e r
ਫਟਣਾ,ph a tt nn aa
ਫਾਟਣਾ,ph aa tt nn aa
ਫਟਫਟਾਉਣਾ,ph a tt ph a tt aa u nn aa
ਫੱਟ,ph a tt tt
ਫਾੱਟਾ,ph aa tt tt aa
ਫੱਟਡ਼,ph a tt tt a rr
ਫੱਟੀ,ph a tt tt ii
ਫਾੱਟਣਾ,ph aa tt tt nn aa
ਫੱਟਣਾ,ph a tt tt nn aa
ਫਤੂਰ,ph a t uu r
ਫਤੂਰੀ,ph a t uu r ii
ਫਤੂਰੀਆ,ph a t uu r ii aa
ਫੌਹ,ph O h
ਫੌਹੀ,ph O h ii
ਫੌਹਡ਼ਾ,ph O h rr aa
ਫੌਂਟਾ,ph O ng tt aa
ਫੌਡ਼,ph O rr
ਫਾਵਾਂ,ph aa v aa ng
ਫਾਵੇਂ,ph aa v e ng
ਫਵਹੀ,ph a v h i
ਫੇਦੂ,ph e d uu
ਫੇਣੀ,ph e nn ii
ਫੇਰ,ph e r
ਫੇਡ਼,ph e rr
ਫੇਰਾ,ph e r aa
ਫੇਰੇ,ph e r e
ਫੇਰੀ,ph e r ii
ਫੇਰਮਾਂ,ph e r m aa ng
ਫੇਰਵਾਂ,ph e r v aa ng
ਫੇਡ਼ਣਾ,ph e rr nn aa
ਫੇਰਣਾ,ph e r nn aa
ਫੇਸਕਲਾਨੇ,ph e s a k l aa n e
ਫੇਟ,ph e tt
ਫੇੱਟਾ,ph e tt tt aa
ਫੇੱਟੀ,ph e tt tt ii
ਫੀ,ph ii
ਫੀਹ,ph ii h
ਫਿਦਾ,ph i d aa
ਫਿੱਡਾ,ph i dd dd aa
ਫਿੱਡੀ,ph i dd dd ii
ਫਿਹਣਾ,ph i h nn aa
ਫਿਹਸਿੱਟਣਾ,s i tt tt nn aa
ਫੀਹਣਾ,ph ii h nn aa
ਫਿੱਕ,ph i k k
ਫਿੱਕਾ,ph i k k aa
ਫੀਲ,ph ii l
ਫੀਲਾ,ph ii l aa
ਫਿਲਰਨੀ,ph i l a r n ii
ਫਿਲ੍ਹੀ,ph i l h ii
ਫਿੱਲ੍ਹ,ph i l l h
ਫਿੱਲੂ,ph i l l uu
ਫੀਮ,ph ii m
ਫੀਮਣ,ph ii m a nn
ਫੀਮੀ,ph ii m ii
ਫੀਮਭਾ,ph i m bh aa
ਫੀਂਭਾ,ph ii nn bh aa
ਫੀਂਚੀ,ph ii ng c ii
ਫਿੰਮ੍ਹਣੀ,ph i m h nn ii
ਫਿੱਮ੍ਹਣੀ,ph i m m h a nn ii
ਫਿੰਡ,ph i n dd
ਫਿੰਦਾਕ,ph i ng d aa k
ਫਿਨਸੀ,ph i n s ii
ਫਿਫਰੀ,ph i ph r ii
ਫਿਫਨੀ,ph i ph n ii
ਫਿੱਫਰਗੱਲ੍ਹਾ,g a l l h aa
ਫਿੱਫਰਾ,ph i p ph r aa
ਫਿੱਫਡ਼ਾ,ph i p ph rr aa
ਫਿਰ,ph i r
ਫਿਰਾਹੀ,ph i r aa h ii
ਫਿਰਾਇਤ,ph i r aa i t
ਫਿਰਤ,ph i r a t
ਫਿਰਾਉ,ph i r aa u
ਫਿਰਾਊ,ph i r aa uu
ਫਿਰਾਉਣ,ph i r O nn
ਫਿਰੌਣ,ph i r O nn
ਫਿਰਾਉਣਾ,ph i r aa u nn aa
ਫਿਰਾਉਟੀ,ph i r aa u tt ii
ਫਿਰ੍ਹਮਣੀ,ph i r h m a nn ii
ਫਿਰਮ੍ਹਣੀ,ph i r m a h nn ii
ਫਿਰਕਾ,ph i r k aa
ਫਿਰਕਣੀ,ph i r k a nn ii
ਫਿਰਨਾ,ph i r n aa
ਫਿਰਨੀ,ph i r n ii
ਫਿਰਤਾ,ph i r t aa
ਫਿਰਤੀ,ph i r t ii
ਫਿਸਕਲਾਣਾ,ph i s a k l aa nn aa
ਫੀਸਬੇੱਕਰ,ph ii s b e k k a r
ਫਿਸਲਣ,ph i s a l a nn
ਫਿਸਲਣਾ,ph i s a l nn aa
ਫਿਸਲਣੀ,ph i s a l nn ii
ਫਿਸਲਾਟ,ph i s l aa tt
ਫਿਸਲਾਉਣਾ,ph i s l aa u nn aa
ਫਿਸੋਕ,ph i s o k
ਫਿਸਫਿਸਾਉਣਾ,ph i s ph i s aa u nn aa
ਫਿੱਸਣਾ,ph i s s nn aa
ਫੀਤਾ,ph ii t aa
ਫਿਟਕ,ph i tt a k
ਫਿਟਾਉਣਾ,ph i tt aa u nn aa
ਫੀਥੁਕੀ,ph ii th u k ii
ਫਿਟਕਾਰ,ph i tt k aa r
ਫਿਟਕਾਰਨਾ,ph i tt k aa r n aa
ਫੀਤਕੀ,ph ii t k ii
ਫਿਟਮੂੰਹਾਂ,ph i tt m uu ng h aa ng
ਫਿਟਨੀ,ph i tt n ii
ਫਿੱਟ,ph i tt tt
ਫਿੱਥਣਾ,ph i t th nn aa
ਫਿੱਟਣਾ,ph i tt tt nn aa
ਫਿੱਟਡ਼ੀ,ph i tt tt rr ii
ਫੋਗ,ph o g
ਫੋਗੱਲੀ,ph o g a l l ii
ਫੋਗਰੂ,ph o g r uu
ਫੋਗਰੀ,ph o g r ii
ਫੋਇਲਸਾਹ,ph o i l s a h
ਫੋਕ,ph o k
ਫੋਕਟ,ph o k a tt
ਫੋਕਾ,ph o k aa
ਫੋਕਡ਼,ph o k a rr
ਫੋਖਰਜ,ph o kh r a j
ਫੋਕੀ,ph o k ii
ਫੋਕਲਾ,ph o k l aa
ਫੋਲੀ,ph o l ii
ਫੋੱਲਾ,ph o l l aa
ਫੋਲਣਾ,ph o l nn aa
ਫੋਲੋ,ph o l o
ਫੋਲੁਕ,ph o l u k
ਫੋਲੁਰ,ph o l u r
ਫੋਲੁਡ਼,ph o l u rr
ਫੋਡ਼ਾ,ph o rr aa
ਫੋਡ਼ਣਾ,ph o rr nn aa
ਫੋਸ,ph o s
ਫੋਸਡ਼,ph o s a rr
ਫੋਸੀ,ph o s ii
ਫੋਟ,ph o tt
ਫੋਤਾ,ph o t aa
ਫੋਟਕ,ph o tt a k
ਫੁਆਰ,ph u aa r
ਫੁਆਰਾ,ph u aa r aa
ਫੁੱਦਾ,ph u d d aa
ਫੁੱਦੀ,ph u d d ii
ਫੁੱਦੂ,ph u d d uu
ਫੁਦਕਣਾ,ph u d k a nn aa
ਫੁਦਕੀ,ph u d k ii
ਫੁਹਾਰ,ph u h aa r
ਫੂਹਰ,ph uu h a r
ਫੂਹਡ਼,ph uu h a rr
ਫੁਹਾਰਾ,ph u h aa r aa
ਫੂਹੀ,ph uu h ii
ਫੂਹਡ਼ਾ,ph uu h rr aa
ਫੂਹਡ਼ੀ,ph uu h rr ii
ਫੂਕ,ph uu k
ਫੁਕਾਰ,ph u k aa r
ਫੁਕਾਰਣਾ,ph u k aa r nn aa
ਫੁਕਾਉਣਾ,ph u k aa u nn aa
ਫੁੱਕ,ph u k k
ਫੁੱਕੀ,ph u k k ii
ਫੁਕਲਾ,ph u k l aa
ਫੁਕਣਾ,ph u k nn aa
ਫੂਕਣਾ,ph uu k nn aa
ਫੂਕਨਾਟਾ,ph uu k n aa tt aa
ਫੂਕਣੀ,ph uu k nn ii
ਫੂਲ,ph uu l
ਫੁਲਾਹ,ph u l aa h
ਫੁਲਾਹੀ,ph u l aa h ii
ਫੂਲਨ,ph uu l a n
ਫੁਲਾਂਚ,ph u l aa ng c
ਫੁਲਾਟ,ph u l aa tt
ਫੁਲਾਉ,ph u l aa u
ਫੁਲਾਉਣਾ,ph u l aa u nn aa
ਫੁਲੌਰੀ,ph u l O r ii
ਫੁਲਬੈਹਿਰੀ,ph u l b a h i r ii
ਫੁਲਬੈਹਰੀ,ph u l b E h r ii
ਫੁਲੇਲ,ph u l e l
ਫੂਲੀ,ph u l ii
ਫੁਲਿਆ,ph u l i aa
ਫੁਲਕਾ,ph u l k aa
ਫੁਲਕੀ,ph u l k ii
ਫੁਲਕਣਾ,ph u l k a nn aa
ਫੁਲਕਾਰੀ,ph u l k aa r ii
ਫੁੱਲ,ph u l l
ਫੁੱਲਾ,ph u l l aa
ਫੁੱਲੀ,ph u l l ii
ਫੁੱਲੀਆਂ,ph u l l ii aa ng
ਫੁੱਲਣਾ,ph u l l nn aa
ਫੁੱਲੋ,ph u l l o
ਫੁਲਫੁਲਾਟ,ph u l ph u l aa tt
ਫੂਲਸੇਲ,ph uu l s e l
ਫੂਲੁ,ph uu l u
ਫੁਲਵਾਈ,ph u l v aa ii
ਫੂਲਵਾਈ,ph uu l v aa ii
ਫੂਲਵਾਰਾ,ph uu l v aa r aa
ਫੁੱਮ੍ਹਣ,ph u m m h a nn
ਫੁੱਮ੍ਹਣੀਆਂ,ph u m m h a nn ii aa ng
ਫੁੰਆਰ,ph u ng aa r
ਫੁੰਦਾ,ph u ng d aa
ਫੁੰਡਾਈ,ph u ng dd aa ii
ਫੁੰਡਾਉਣਾ,ph u ng dd aa u nn aa
ਫੁੰਡਣਾ,ph u ng dd nn aa
ਫੁੰਹਾਰ,ph u ng h aa r
ਫੁੰਹਾਰਾ,ph u ng h aa r aa
ਫੁੰਕਾਰ,ph u ng k aa r
ਫੁੰਕਾਰਣਾ,ph u ng k aa r nn aa
ਫੂੰਫਾਂ,ph uu ng ph aa ng
ਫੂੰਤ,ph uu ng t
ਫੂੰਤ੍,ph uu ng t a r
ਫੂਪਾਰੀ,ph uu p aa r ii
ਫੁਣਸੀ,ph u nn s ii
ਫੂਫਾਰੀ,ph uu ph aa r ii
ਫੁਫੇਹਸ,ph u ph e h a s
ਫੁਫੇਰੀਭੈਣ,bh E nn
ਫੁਫਿਔਹਰਾ,ph u ph i O h r aa
ਫੁਫਿਆਉਣਾ,ph u ph i aa u nn aa
ਫੁੱਫਾ,ph u p ph aa
ਫੁੱਫਡ਼,ph u p ph a rr
ਫੁੱਫੀ,ph u p ph ii
ਫੁਰਕਣਾ,ph u r a k nn aa
ਫੁਰਾਟਾ,ph u r aa tt aa
ਫੂਡ਼੍ਹ,ph uu rrh
ਫੂਡ਼੍ਹੀ,ph u rrh ii
ਫੁਡ਼ਿਆਹਣ,ph u rr i aa h a nn
ਫੁਡ਼ਿਆਂਧ,ph u rr i aa ng dh
ਫੁਡ਼ਿਆਨਹ,ph u rr i aa n h
ਫੁਰਜ,ph u r j
ਫੂਰੀਆਂ,ph uu r ii aa ng
ਫੁਰਕਡ਼ਾ,ph u r k a rr aa
ਫੁਰਨਾ,ph u r n aa
ਫੁਰਨਾ,ph u r nn aa
ਫੁਰਡ਼ਾ,ph u r rr aa
ਫੁਰਤ,ph u r t
ਫੁਰਤੈਲਾ,ph u r t E l aa
ਢੁਰਤੀਲਾ,ph u r t ii l aa
ਫੁਰਤੀ,ph u r t ii
ਫੂਸ,ph uu s
ਫੂਸੀ,ph uu s ii
ਫੁਸਕਣਾ,ph u s k nn aa
ਫੁਸਫੁਸਾਟ,ph u s aa tt
ਫੂਸਡ਼ੇ,ph uu s rr e
ਫੁੱਸ,ph u s s
ਫੂੱਸੀ,ph uu s s ii
ਫੂਤ,ph uu t
ਫੂਟ,ph uu tt
ਫੁਟੈਲ,ph u tt E l
ਫੂਤਕ,ph u t a k
ਫੁਟਾਰ,ph u tt aa r
ਫੁਟਾਉਣਾ,ph u tt aa u nn aa
ਫੁਟਕਲ,ph u tt k a l
ਫੁਟਕਡ਼ੀ,ph u tt k a rr ii
ਫੁਟਕੀ,ph u tt k ii
ਫੁਟਕੁਰ,ph u tt k u r
ਫੁਟਕੁਡ਼,ph u tt k u rr
ਫੁੱਟ,ph u tt tt
ਫੁੱਟੀ,ph u tt tt ii
ਫੁੱਟਣਾਂ,ph u tt tt nn ii
ਪੀ,p ii
ਪੀਆ,p ii aa
ਪਿਆ,p i aa
ਪਿਆਦ,p i aa d
ਪਿਆਦਾ,p i aa d aa
ਪਿਆਈ,p i aa ii
ਪਿਆਜ,p i aa j
ਪਿਆਜੀ,p i aa j ii
ਪਿਆੱਜੀ,p i aa j j ii
ਪਿਆਕ,p i aa k
ਪੀਆਕ,p ii aa k
ਪਿਆਲਾ,p i aa l aa
ਪਿਆਲੀ,p i aa l ii
ਪਿਆਲਣਾ,p i aa l nn aa
ਪਿਆਲਨਾ,p i aa l n aa
ਪਿਆਰ,p i aa r
ਪਿਆਰਾ,p i aa r aa
ਪਿਆਰਿਡ਼ਿਆ,p i aa r i rr i aa
ਪਿਆਸ,p i aa s
ਪਿਆਸਾ,p i aa s aa
ਪਿਆਉਣ,p i aa u nn aa
ਪੀਬ,p ii b
ਪੀਚ,p ii c
ਪਿਚਕਣਾ,p i c a k nn aa
ਪਿੱਛ,p i c ch
ਪਿੱਛਾ,p i c ch aa
ਪਿੱਛੇ,p i c ch e
ਪਿੱਛੋਂ,p i c ch o ng
ਪਿਛਾਹਾਂ,p i ch aa h aa ng
ਪਿਛਾਹੁਣਾ,p i ch aa h u nn aa
ਪਿਛਿਆਲੀ,p i ch i aa l ii
ਪਿਛਲਖੁਰੀ,p i ch a l kh u r ii
ਪਿਛਾਂਗਰਾ,p i ch aa ng g a r aa
ਪਿਛਾਡ਼ੀ,p i ch aa rr ii
ਪਿਛੌਟੀ,p i ch O tt ii
ਪਿਛਾਵਾਂ,p i ch aa v aa ng
ਪਿਛੇਤ,p i ch e t
ਪਿਛੇਤਾ,p i ch e t aa
ਪਿਛਲਾ,p i ch l aa
ਪਿਛਲੀ,p i ch l ii
ਪਿਛਲੱਗ,p i ch l a g g
ਪਿਛੋਕਾ,p i ch o k aa
ਪਿਛਵਾਡ਼ਾ,p i ch v aa rr aa
ਪਿਛਵਾਡ਼ੀ,p i ch v aa rr ii
ਪੀਚਕਾ,p ii c k aa
ਪਿਚਕਾਰਾ,p i c k aa r aa
ਪਿਚਕਾਰੀ,p i c k aa r ii
ਪਿਚਕਾਉਣਾ,p i c k aa u nn aa
ਪਿਚਲਾ,p i c l aa
ਪਿਚਲੀ,p i c l ii
ਪਿਚਲਗ,p i c l a g
ਪੀਚਣਾ,p ii c nn aa
ਪਿੱਦਾ,p i d d aa
ਪਿੱਦੀ,p i d d ii
ਪਿਦਡ਼ਾ,p i d rr aa
ਪਿਦਡ਼ੀ,p i d rr ii
ਪਿਘਲਣਾ,p i gh a l nn aa
ਪਿਘਲਾਈ,p i gh l aa ii
ਪਿਘਲਾਉ,p i gh l aa u
ਪਿਘਲਾਊ,p i gh l aa uu
ਪਿਘਲਾਉਣਾ,p i gh l aa u nn aa
ਪੀਹ,p ii h
ਪਿਹਾਈ,p i h aa ii
ਪਿਹਾਕ,p i h aa k
ਪੀਹਣ,p ii h a nn
ਪੀਹਡ਼,p ii h a rr
ਪਿਹਾਉਣਾ,p i h aa u nn aa
ਪੀਹੀ,p ii h ii
ਪਿਹਲਾ,p i h l aa
ਪਿਹਲਡ਼,p i h l a rr
ਪੀਹਲੂੰ,p ii h l uu ng
ਪੀਹਣਾ,p ii h nn aa
ਪੀਹਡ਼ਾ,p ii h rr aa
ਪੀਹਡ਼ੀ,p ii h rr ii
ਪੀਹੁ,p ii h u
ਪੀਕ,p ii k
ਪਿਕੰਬਰ,p i k a m b a r
ਪਿਕੰਬਰ,p i k a ng b a r
ਪਿਕੰਬਰੀ,p i k a m b a r ii
ਪਿਕੰਬਰੀ,p i k a ng b a r ii
ਪੀਲ,p ii l
ਪੀਲਾ,p ii l aa
ਪੀਲੀ,p ii l ii
ਪਿਲਚਣਾ,p i l a c nn aa
ਪਿਲਾਈ,p i l aa ii
ਪੀਲਾਈ,p ii l aa ii
ਪੀਲਕ,p ii l a k
ਪਿਲਾਕ,p i l aa k
ਪੀਲਣ,p ii l a nn
ਪਿਲੱਤਣ,p i l a t t a nn
ਪਿਲਾਉਣਾ,p i l aa u nn aa
ਪਿਲਚਾਉਣਾ,p i l c aa u nn aa
ਪਿਲਛੀ,p i l ch ii
ਪੀਲ੍ਹ,p ii l h
ਪੀਲੰ੍ਹੂ,p ii l h uu ng
ਪਿਲਕਣ,p i l k a nn
ਪਿਲਖਣ,p i l kh a nn
ਪਿਲਕੀ,p i l k ii
ਪਿੱਲਾ,p i l l aa
ਪਿੱਲੀ,p i l l ii
ਪਿਲਣਾ,p i l nn aa
ਪਿਲਨਾ,p i l n aa
ਪੀਲੋ,p ii l o
ਪੀਲੋਂ,p ii l o ng
ਪੀਲਪਾਇਆ,p ii l p aa i aa
ਪੀਲਪਾਵਾ,p ii l p aa v aa
ਪਿਲਪਿਲਾ,p i l p i l aa
ਪਿਲਪਿਲਾਟ,p i l p i l aa tt
ਪਿਲਪਲਾਉਣਾ,p i l p l aa u nn aa
ਪੀਲਰੂ,p ii l r uu
ਪੀਲਸਾ,p ii l s aa
ਪੀਲੂ,p ii l uu
ਪੀਲੂੰ,p ii l uu ng
ਪਿਲਵਾਈ,p i l v aa ii
ਪਿਲਵੈਯਾ,p i l v E y aa
ਪਿਲਵੱਯਾ,p i l v a y y aa
ਪਿਲਵਾਉਣਾ,p i l v aa u nn aa
ਪੀਂ,p ii ng
ਪੀਣ,p ii ng
ਪੀਣਾ,p ii nn aa
ਪੀਣਕ,p ii nn a k
ਪੀਣਸ,p ii nn a s
ਪੀਂਚੋ,p ii ng c o
ਪਿੰਡ,p i ng dd
ਪਿੰਡਾ,p i ng dd aa
ਪਿੰਡਾਰਾ,p i ng dd aa r aa
ਪਿੰਡੀ,p i ng dd ii
ਪਿੰਡੋਲ,p i ng dd o l
ਪਿੰਡੋਰਾ,p i ng dd o r aa
ਪਿਨਦਰਾਈ,p i n d r aa ii
ਪੀਂਗ,p ii ng g
ਪੀਂਘ,p ii ng gh
ਪਿੰਗਲ,p i ng g g a l
ਪਿੰਗਲਾ,p i ng g g a l aa
ਪਿੰਗਲੀ,p i ng g g a l ii
ਪੀਂਘਾ,p ii ng gh aa
ਪਿੰਘੂਡ਼ਾ,p i ng gh uu rr aa
ਪਿਨਗਯਾਤ,p i n g y aa t
ਪੀਂਜ,p ii ng j
ਪਿੰਜਾਈ,p i ng j aa ii
ਪਿੰਜਰ,p i ng j a r
ਪਿੰਜਾਉਣਾ,p i ng j aa u nn aa
ਪਿੰਜਣਾ,p i ng j nn aa
ਪਿੰਜਣੀ,p i ng j nn ii
ਪਿੰਜਰੀ,p i ng j r ii
ਪਿੰਝੂ,p i ng jh uu
ਪੀਂਝੂ,p ii ng jh uu
ਪਿੰਝੀ,p i ng jh ii
ਪਿੰਜੁਣ,p i ng j u nn
ਪਿਨਜੂਰ,p i n j uu r
ਪਿੰਨ,p i n n
ਪਿੱਨਾ,p i n n aa
ਪਿੱਨਣਾ,p i n n a nn aa
ਪਿੱਨੀ,p i n n ii
ਪੀਨੁ,p ii n u
ਪਿਨਯਾਤ,p i n y aa t
ਪਿਓਬਾ,p i o b aa
ਪੀਪ,p ii p
ਪੀਪਾ,p ii p aa
ਪੀਪਲ,p ii p a l
ਪੀਪਤਬੂਟੀ,b uu tt ii
ਪਿਪੇਰੀ,p i p e r ii
ਪੀਪੀ,p ii p ii
ਪਿਪਲਾਂ,p i p l aa ng
ਪਿਪਲੀਹੀ,p i p l ii h ii
ਪੀਪਨੀ,p ii p n ii
ਪਿੱਪ,p i p p
ਪਿੱਪਾ,p i p p aa
ਪਿੱਪੂੰ,p i p p uu
ਪਿੱਪਲ,p i p p a l
ਪਿੱਪਲੀ,p i p p a l ii
ਪਿੱਪਲਾਮੂਲ,p i p p l aa m uu l
ਪਿੱਪੂ,p i p p u
ਪੀਰ,p ii r
ਪਿਡ਼,p i rr
ਪੀਡ਼,p ii rr
ਪਿਰ,p i r
ਪਿਡ਼ਾ,p i rr aa
ਪੀਡ਼ਾ,p ii rr aa
ਪਿਰਾਈ,p i r aa ii
ਪੀਡ਼ਾਈ,p ii rr aa ii
ਪਿਰਤ,p i r a t
ਪਿਡ਼ਾਉਣਾ,p i rr aa u nn aa
ਪੀਡ਼ਾਉਣਾ,p ii rr aa u nn aa
ਪੀਡ਼੍ਹਾ,p ii r h aa
ਪੀਡ਼੍ਹੀ,p ii rrh ii
ਪੀਰਹੀ,p i r h ii
ਪਿਡ਼ੀ,p i rr ii
ਪਿਰੀ,p i r ii
ਪੀਰੀ,p ii r ii
ਪਿਡ਼ਿਆਈ,p i rr i aa ii
ਪੀਡ਼ਣਾ,p ii rr nn aa
ਪਿਰੋਣਾ,p i r o nn aa
ਪਿਰਤਬਿੰਬ,p i r t b i m b
ਪਿਰਥਮੇ,p i r th a m e
ਪਿਰਥਮੇਂ,p i r th a m e ng
ਪਿਰਥਮੀ,p i r th a m ii
ਪਿਰਥਵੀ,p i r th a v ii
ਪਿਰਤਮਾ,p i r t m aa
ਪਿਰਤਪਾਲ,p i r t p aa l
ਪਿਰਤਪਾਲਾ,p i r t p aa l aa
ਪਿਸਾਚ,p i s aa c
ਪਿਸਾਚਣੀ,p i s aa c nn ii
ਪਿਸਾਈ,p i s aa ii
ਪੀਸਕ,p ii s a k
ਪਿਸਾਉਣਾ,p i s aa u nn aa
ਪਿਸ਼ਕਨ,p i sh k a n
ਪਿਸ਼ੋਰ,p i sh o r
ਪੀਸਣਾ,p ii s nn aa
ਪਿਸਣਾ,p i s nn aa
ਪਿੱਸੂ,p i s s uu
ਪਿਸਤਾ,p i s t aa
ਪਿਸਤਾਕੀ,p i s t aa k ii
ਪਿਸਤੌਲ,p i s t O l
ਪਿਸਤੀ,p i s t ii
ਪਿਸਵਾਈ,p i s v aa ii
ਪਿਸਵਾਉਣਾ,p i s v aa u ng aa
ਪੀਤ,p ii t
ਪਿਤਾ,p i t aa
ਪੀਤਮ,p ii t a m
ਪਿਤਮਬਰ,p i t a m b a r
ਪਿਤੰਬਰ,p i t a ng b a r
ਪਿਤੰਦਰ,p i t a ng d a r
ਪਿਤ੍,p i t a r
ਪਿਟਾਰ,p i tt aa r
ਪਿਟਾਰਾ,p i tt aa r aa
ਪਿਟਾਰੀ,p i tt aa r ii
ਪਿਟਾਉਣਾ,p i tt aa u nn aa
ਪਿਟਾਉਟਾ,p i tt aa u tt aa
ਪੀਠ,p ii tth
