ਆ,Á
ਸਹੰਸਰ,SAHAṆSAR
ਸਹਾਰਣ,SAHÁRAṈ
ਸਹਾਰਣਾ,SAHÁRṈÁ
ਸਹਾਰਣੀ,SAHÁRṈÍ
ਸਹਾਉ,SAHÁU
ਸਹਾਊ,SAHÁÚ
ਸਹਾਯਕ,SAHÁYAK
ਸਹੇਲਾ,SAHELÁ
ਸਹੇਲੀ,SAHELÍ
ਸਹੇਲਪੁਣਾ,SAHELPUṈÁ
ਸਹੇਡ਼ਲੈਣਾ,SAHEṚLAIṈÁ
ਸਹੇਡ਼ਣਾ,SAHEṚṈÁ
ਸਹੀ,SAHÍ
ਸਾਹੀ,SÁHÍ
ਸਹਿਆ,SAHIÁ
ਸਹੀਦ,SAHÍD
ਸਹੀਦੀ,SAHÍDÍ
ਸਹਿਜ,SAHIJ
ਸਹਿਜੇ,SAHIJE
ਸਹਿਕਣਾ,SAHIKṈÁ
ਸਹਿਲ,SAHIL
ਸਹਿਲੈਣਾ,SAHILAIṈÁ
ਸਹਿਮ,SAHIM
ਸਹਿਮਣਾ,SAHIMAṈÁ
ਸਹਿਮਰਨਾ,SAHIMARNÁ
ਸਹਿਨ,SAHIN
ਸਹਿਣਾ,SAHIṈÁ
ਸਹਿਣਕ,SAHIṈAK
ਸਹਿਣਕੀ,SAHIṈAKÍ
ਸਹਿਣਹਾਰ,SAHIṈHÁR
ਸਹਿਰ,SAHIR
ਸਹਿਰਣ,SAHIRAṈ
ਸਹਿਰੀ,SAHIRÍ
ਸਹਿਰੀਆ,SAHIRÍÁ
ਸਹਿਤ,SAHIT
ਸਹਿਵੈਯਾ,SAHIWAIYÁ
ਸਹਿਵੱਯਾ,SAHIWAYYÁ
ਸਾਹਜਰਾ,SÁHJARÁ
ਸਾਹਜਰੇ,SÁHJARE
ਸਹਕਾਉਣਾ,SAHKAUṈÁ
ਸਹਲ,SAHL
ਸਾਹਮਣਾ,SÁHMAṈÁ
ਸਾਹਮਣੇ,SÁHMAṈE
ਸਾਹਨ,SÁHN
ਸਾਹਣਾ,SÁHṈÁ
ਸਾਹਣਕ,SÁHṈAK
ਸਾਹਣਕੀ,SÁHṈAKÍ
ਸਾਹਨਣੀ,SÁHNAṈÍ
ਸਹੋਲ,SAHOL
ਸਹੋਟਾ,SAHOṬÁ
ਸਾਹਡ਼ਾ,SÁHṚÁ
ਸਹਰਾ,SAHRÁ
ਸਾਹਡ਼ੀ,SÁHṚÍ
ਸਾਹਡ਼ਸਤੀ,SÁHAṚSATÍ
ਸਾਹੂ,SÁHÚ
ਸਾਹੂਕਾਰ,SÁHÚKÁṚ
ਸਾਹੂਕਾਰਨੀ,SÁHÚKÁRNÍ
ਸਾਹੂਕਾਰਾ,SÁHÚKÁRÁ
ਸਾਹੂਕਾਰੀ,SÁHÚKÁRÍ
ਸਾਹੂਕਾਰੀ,SÁHÚKÁRÍ
ਸਹੁਰਾ,SAHURÁ
ਸਹੁਰੇ,SAHURE
ਸਹੁਰੀ,SAHURÍ
ਸੈ,SAI
ਸੈਈ,SAÍ
ਸੈਇਆ,SAIÁ
ਸੈਈ,SAÍ
ਸਾਈ,SÁÍ
ਸੈਦੀ,SAIDÍ
ਲੈਕਡ਼ਾ,SAIKṚÁ
ਸੈਲ,SAIL
ਸੈਲਾਬ,SAILÁB
ਸੈਲਾਬੀ,SAILÁBÍ
ਸੈਲਣ,SAILAṈ
ਸੈਲੀ,SAILÍ
ਸੈਲੂ,SAILÚ
ਸਾਇਮਾਨ,SÁIMÁN
ਸਾਈਂ,SAÍṆ
ਸੈਨ,SAIN
ਸੈਨ,SAIN
ਸੈਨਕ,SAINAK
ਸੈਨਤ,SAINAT
ਸੈਨਾ,SAINÁ
ਸੈਂਚਾ,SAIṆCHÁ
ਸੈਂਚੀ,SAIṆCHÍ
ਸੈਂਦਕ,SAIṆDAK
ਸੈਂਦਕੀ,SAIṆDAKÍ
ਸੈਂਦਕੀਂ,SAIṆDAKÍṆ
ਸਾਇਣੀ,SÁIṈÍ
ਸੈਣੀ,SAIṈÍ
ਸੈਂਤਾ,SAIṆTÁ
ਸੈਂਤਾਲੀ,SAIṆTÁLÍ
ਸੈਂਤਾਹਲੀਆ,SAIṆTÁHLÍÁ
ਸੈਂਤਾਲ੍ਹੀਆ,SAIṆTÁLHÍÁ
ਸੈਂਤਾਲੀਮਾਂ,SAIṆTÁLÍMÁṆ
ਸੈਂਤਾਲੀਵਾਂ,SAIṆTÁLÍWÁṆ
ਸੈਂਤੀ,SAIṆTÍ
ਸੈਂਤੀਮਾਂ,SAIṆTÍMÁṆ
ਸੈਂਤੀਵਾਂ,SAIṆTÍWÁṆ
ਸੈਰ,SAIR
ਸਾਇਰ,SÁIR
ਸੈਰੀ,SAIRÍ
ਸੈਰਨਾ,SAIRNÁ
ਸਾਇਤ,SÁIT
ਸਾਇਤਣਾ,SÁITṈÁ
ਸਈਯਦ,SAÍYAD
ਸਾਈਯਾਂ,SÁÍYÁṆ
ਸਜ,SAJ
ਸਾਜ,SÁJ
ਸਜਾ,SAJÁ
ਸਜਾਦਾ,SAJÁDÁ
ਸਜਾਦੀ,SAJÁDÍ
ਸਜਨ,SAJAN
ਸਜਨੀ,SAJANÍ
ਸਾਜਾਤੀ,SÁJÁTÍ
ਸਜਾਤੀ,SAJÁTÍ
ਸਜਾਉ,SAJÁU
ਸਜਾਉਟ,SAJÁUṬ
ਸਜਾਉਣਾ,SAJÁUṈÁ
ਸਾਝਰਾ,SÁJHRÁ
ਸਾਝਰੇ,SÁJHRE
ਸਜੀਲਾ,SAJÍLÁ
ਸਜੀਵ,SAJÍW
ਸੱਜ,SAJJ
ਸੱਜਾ,SAJJÁ
ਸੱਜਣ,SAJJAṈ
ਸੱਜੀ,SAJJÍ
ਸੱਜਰਾ,SAJJRÁ
ਸਜਣਾ,SAJṈÁ
ਸਾਜਣਾ,SÁJṈÁ
ਸਜੋਡ਼,SAJOṚ
ਸਾਕ,SÁK
ਸਕਾ,SAKÁ
ਸਕਲ,SAKAL
ਸਕਾਮੂਨੀਯਾ,SAKÁMÚNÍYÁ
ਸਕੰਜਾ,SAKAṆJÁ
ਕੰਜਬੀ,SAKAṆJBÍ
ਸਾਕਰ,SÁKAR
ਸਕਾਰ,SAKÁR
ਸਕਾਰ,SAKÁRAṈ
ਸਕਾਰੀ,SAKÁRI
ਸਕਾਰਥ,SAKÁRATH
ਸਾਕਰੀਆਂ,SÁKARIÁṆ
ਸਕਰਕੰਦੀ,SAKARKAṆDÍ
ਸਕਰਪਾਰਾ,SAKARPÁRÁ
ਸਕਾਰਨਾ,SAKÁRNÁ
ਸਕਤ,SAKAT
ਸਾਕਤ,SÁKAT
ਸਕਊ,SAKAÚ
ਸਕਾਵਾ,SAKÁWÁ
ਸਕਬੀਨਾਜ,SAKBÍNÁJ
ਸਕੇਲਾ,SAKELÁ
ਸਾਖ,SÁKH
ਸਖਾਈ,SAKHÁÍ
ਸਖਰ,SAKHAR
ਸਖਸ,SAKHAS
ਸਖਸਣੀ,SAKHASṈÍ
ਸਾਖਤੀ,SÁKHATÍ
ਸਖਾਉਣਾ,SAKHÁUṈÁ
ਸਖਾਉਟ,SAKHÁUṬ
ਸਖੌਤ,SAKHAUT
ਸਖਾਉਤ,SAKHÁUT
ਸਖੌਟੀ,SAKHAUṬÍ
ਸਖੌਤੀ,SAKHAUTÍ
ਸਖੀ,SAKHÍ
ਸਾਖੀ,SÁKHÍ
ਸਖਿਰ,SAKHIR
ਸਖਤਾਈ,SAKHTÁI
ਸਖਤੀ,SAKHTÍ
ਸਕੀ,SAKÍ
ਸਾਕੀ,SÁKÍ
ਸਕੀਲ,SAKÍL
ਸਕੀਰੀ,SAKÍRÍ
ਸੱਕ,SAKK
ਸੱਕਾ,SAKKÁ
ਸਾੱਕਾ,SÁKKÁ
ਸੱਕਿਣ,SAKKAṈ
ਸੱਕਡ਼,SAKKAṚ
ਸ4ਕਰ,SAKKAR
ਸੱਖਰ,SAKKHAR
ਸੱਖਰਾ,SAKKHARÁ
ਸੱਖਣਾ,SAKKHṈÁ
ਸੱਖਣੀ,SAKKHṈÍ
ਸੱਕੀ,SAKKÍ
ਸੱਕਣਾ,SAKKṈÁ
ਸੱਕੂ,SAKKÚ
ਸਕਲਾਤ,SAKLÁT
ਸਕਲੌਂਪ,SAKALAUMP
ਸਕਲੌਂਮਪ,SAKALAUṆP
ਸਕਲੌਮਪਣਾ,SAKALAUMPṈÁ
ਸਕਲੌਂਪਣਾ,SAKALAUṆPṈÁ
ਸਕਮੁਨੀਆ,SAKMUNÍÁ
ਸਕਰਾਨਾ,SAKRÁNÁ
ਸਕਰਾਂਦ,SAKRÁṆD
ਸਕਰਾਂਤ,SAKRÁṆT
ਸਕਰਾਉਣਾ,SAKRÁUṈÁ
ਸਕਤ,SAKT
ਸਕਤਾ,SAKTÁ
ਸਕਤਾਈ,SAKTÁÍ
ਸਾਲ,SÁL
ਸਲਾ,SALÁ
ਸਾਲਾ,SÁLÁ
ਸਲਾਬ,SALÁB
ਸਾਲਬ,SÁLAB
ਸਲੱਬਾ,SALABBÁ
ਸਲਾਭਾ,SALÁBHÁ
ਸਲਾਬੀ,SALÁBÍ
ਸਾਲਗਰਾਮ,SÁLAGRÁM
ਸਲਾਹ,SALÁH
ਸਲਾਹਤ,SALÁHAT
ਸਲਾਹਣਾ,SALÁHṈÁ
ਸਲਾਹੁਣਾ,SALÁHUṈÁ
ਸਲਾਈ,SALÁÍ
ਸਲਾਜੀਤ,SALÁJÍT
ਸਲਕ,SALAK
ਸਾਲਕ,SÁLAK
ਸਲਲ,SALAL
ਸਲਾਮ,SALÁM
ਸਾਲਮ,SÁLAM
ਸਲਮਭਾ,SALAMBHÁ
ਸਲਾਮਤ,SALÁMAT
ਸਲਾਮਤੀ,SALÁMATÍ
ਸਲਾਮੀ,SALÁMÍ
ਸਾਲਨ,SÁLAN
ਸਾਲਣ,SÁLAṈ
ਸਾਲਣਾ,SÁLAṈÁ
ਸਾਲੰਗਨ,SÁLAṆGAN
ਸਲਗਰ,SALGAR
ਸਲੰਘ,SALAṆGH
ਸਲੰਘਾ,SALAṆGHÁ
ਸਲਾਰ,SALÁR
ਸਾਲਾਰ,SÁLÁR
ਸਲਾਰਾ,SALÁRÁ
ਸਲਾਰੀ,SALÁRÍ
ਸਾਲਸ,SÁLAS
ਸਾਲਸੀ,SÁLASÍ
ਸਲਾਸੀ,SALÁSÍ
ਸਲੌਕੇਰ,SALAUKER
ਸਲਾਉਣਾ,SALÁUṈÁ
ਸਲਗਮ,SALGAM
ਸਲਗੀ,SALGÍ
ਸਾਲ੍ਹ,SÁLH
ਸਲ੍ਹਾ,SALHÁ
ਸਲਹਾਬ,SALHÁB
ਸਲਹਾਬਾ,SALHÁBÁ
ਸਲ੍ਹਾਬੀ,SALHÁBÍ
ਸਲਹੰਗ,SALHAṆG
ਸਲ੍ਹੰਗਾ,SALHAṆGÁ
ਸਲਹਾਡ਼ਣ,SALHÁṚAṈ
ਸਾਲ੍ਹੇ,SÁLHE
ਸਾਲਹੀ,SÁLHÍ
ਸਲ੍ਹਣਾ,SALHṈÁ
ਸਾਲਿਬ,SÁLIB
ਸਲਹੁਣ,SALHUṈ
ਸੱਲ,SALL
ਸੱਲਾ,SALLÁ
ਸੱਲੇ,SALLE
ਸੱਲਣਾ,SALLṈÁ
ਸਲੋਦ,SALOD
ਸਲੋਹਾ,SALOHÁ
ਸਲੋਨਾ,SALONÁ
ਸਲੋਤ੍,SALOTAR
ਸਲੋਤਰੀ,SALOTARÍ
ਸਲੋਤੀ੍,SALOTARÍ
ਸਾਲਸੀ,SÁLSÍ
ਸਾਲਸੁੱਧ,SÁLSUDDH
ਸਲੂ,SALÚ
ਸਾਲੂ,SÁLÚ
ਸਲੂਕ,SALÚK
ਸਲੂਣਾ,SALÚṈÁ
ਸਲੂਣਕ,SALÚṈAK
ਸਲੂਣੀ,SALÚṈÍ
ਸਲਵਾਈ,SALWÁÍ
ਸਲਵਾਰ,SALWÁR
ਸਲਵਟ,SALWAṬ
ਸਲਵੱਟ,SALWAṬṬ
ਸਲਵਾਉਣਾ,SALWÁUṈÁ
ਸਲਯਾਰਾ,SALYÁRÁ
ਸਮ,SAM
ਸਾਮ,SÁM
ਸਮਾ,SAMÁ
ਸਮਾਚਾਰ,SAMÁCHÁR
ਸਮਾਚਾਰੀ,SAMÁCHÁRÍ
ਸਮੱਧਰ,SAMADDHAR
ਸਮਾਧ,SAMÁDH
ਸਮਾਧੀ,SAMÁDHÍ
ਸਮਾਗਮ,SAMÁGAM
ਸਮਾਈ,SAMÁÍ
ਸਮਾਇਣ,SAMÁIṈ
ਸਮਾਇਤ,SAMÁIT
ਸਮਝ,SAMAJH
ਸਮਝਣਾ,SAMAJHṈÁ
ਸਮਾਕ,SAMÁK
ਸਾਮਕ,SÁMAK
ਸਮਾਕੀ,SAMÁKÍ
ਸਮਲ,SAMAL
ਸਮਾਲਣਾ,SAMÁLṈÁ
ਸਮਾਲੂ,SAMÁLÚ
ਸਮਾਂ,SAMÁṆ
ਸਮਾਨ,SAMÁN
ਸਾਮਾਨ,SÁMÁN
ਸਮਾਨ,SAMÁN
ਸਾਮਾਂ,SÁMÁṆ
ਸਮਾਪਤ,SAMÁPAT
ਸਮਾਰਨਾ,SAMÁRNÁ
ਸਮਾਰੁਘ,SAMÁRUGH
ਸਾਮਰਤੱਕ,SÁMARTAKK
ਸਾਮਰਥ,SÁMARTH
ਸਮਰਥ,SAMARTH
ਸਾਮਰਥਾ,SÁMARTHÁ
ਸਮਰਥਾ,SAMARTHÁ
ਸਾਮਰਥੀ,SÁMARTHÍ
ਸਮਰਥੀ,SAMARTHÍ
ਸਮਾਉਣਾ,SAMÁUṈÁ
ਸਮਬਰ,SAMBAR
ਸਮਬਰਾਈ,SAMBARÁÍ
ਸਮਬਰਾਉਣਾ,SAMBARÁUṈÁ
ਸਮਬਰਣਾ,SAMBARṈÁ
ਸਮਬਰਸੂਹਡ਼ੀ,SAMBARSÚHṚÍ
ਸਮਭਲ,SAMBHAL
ਸਮਭਲਣਾ,SAMBHALṈÁ
ਸਮਭਾਲਣਾ,SAMBHÁLṈÁ
ਸਮਭਾਲਨਾ,SAMBHÁLNÁ
ਸਮਭਾਲੂ,SAMBHÁLÚ
ਸਾਮਭਰ,SÁMBHAR
ਸਾਮਭਲੈਣਾ,SÁMBHLAIṈÁ
ਸਾਮਭਣਾ,SÁMBHṈÁ
ਸਮਭੂ,SAMBHÚ
ਸਾਮਬਲੀ,SÁMBLÍ
ਸਮਬੁਲਤੀਬ,SAMBULTÍB
ਸਮਧਾ,SAMDHÁ
ਸਮੇਰ,SAMER
ਸਮੇਤ,SAMET
ਸਮੇਟਣਾ,SAMEṬṈÁ
ਸਮੇਟੂ,SAMEṬÚ
ਸਾਮ੍ਹ,SÁMH
ਸਮਹਾਲਨ,SAMHÁLAN
ਸਮਹਾਲਣਾ,SAMHÁLAṈÁ
ਸਮਹਾਲਣਾ,SAMHÁLṈÁ
ਸਮਹਨ,SAMHAN
ਸਮਹਾਲੂ,SAMHÁLÚ
ਸਾਮੀ,SÁMÍ
ਸਮਿਆਨ,SAMIÁN
ਸਮਿਆਨਾ,SÁM&amp;IlineÁNÁ
ਸਮੀਪ,SAMÍP
ਸਮਝ,SAMJH
ਸਮਝਾਉਣਾ,SAMJHÁUṈÁ
ਸਮਝੌਤੀ,SAMJHAUTÍ
ਸਮਝਾਵਾ,SAMJHÁWÁ
ਸਮਝਣਾ,SAMJHṈÁ
ਸਮਲਾ,SAMLÁ
ਸਾਮਲਾ,SÁLÁ
ਸਮੱਧਰ,SAMADDHAR
ਸੱਮ,SAMM
ਸੱਮਾ,SAMMÁ
ਸੱਮਗ,SAMMAG
ਸ4ਮਕ,SAMMAK
ਸੱਮਨ,SAMMAN
ਸੱਮਰਨਾ,SAMMARNÁ
ਸੱਮਤ,SAMMAT
ਸੱਮੀ,SAMMÍ
ਸਾਮਲਾ,SÁMLÁ
ਸਮੋਜਾ,SAMOJÁ
ਸਮੋਲਾ,SAMOLÁ
ਸਮੋਣਾ,SAMOṈÁ
ਸਾਂਪ,SÁMP
ਸਮਪਟ,SAMPAṬ
ਸਮਪਣੀ,SAMPṈÍ
ਸਮਪੂਰਨ,SAMPÚRAN
ਸਮਪੂਰਣ,SAMPÚRAṈ
ਸਮਰਨ,SAMRAN
ਸਮਸਾ,SAMSÁ
ਸਮਸੀ,SAMSÍ
ਸਮੂਚਾ,SAMÚCHÁ
ਸਮੁੱਚਾ,SAMUCHCHÁ
ਸਮੁੱਚੇ,SAMUCHCHE
ਸਮੁੱਦਰ,SAMUDDAR
ਸਮੁੱਦਰੀ,SAMUDDARÍ
ਸਮੂਹ,SAMÚH
ਸਮੂਕਾ,SAMÚKÁ
ਸਮੁੰਦ,SAMUṆD
ਸਮੁੰਦਰ,SAMUṆDAR
ਸਣ,SAṈ
ਸਾਂ,SÁṆ
ਸਨ,SAN
ਸਾਨ,SÁN
ਸਾਣ,SÁṈ
ਸਨਾ,SANÁ
ਸਨਦ,SANAD
ਸਨਦੀ,SANADÍ
ਸਨਾਹ,SANÁH
ਸਨਹ,SANAH
ਸਨਾਇ,SANÁI
ਸਨਾ,SANÁ
ਸਨਾਕੇ,SANÁKE
ਸਨਾਖਤ,SANÁKHT
ਸਨਾਨ,SANÁN
ਸਨਾਸ,SANÁS
ਸਨਾਸੀ,SANÁSÍ
ਸਣਾਟਾ,SAṈÁṬÁ
ਸਨਾਤਣ,SANÁTAṈ
ਸਨੱਥਾ,SANATTHÁ
ਸੰਬਲ,SAṆBBAL
ਸਨਬੰਧ,SANBAṆDH
ਸੰਬੰਧ,SAṆBAṆDH
ਸਾਂਭਣਾ,SÁṆBHṈÁ
ਸਾਂਚ,SÁṆCH
ਸਾਂਚਾ,SÁṆCHÁ
ਸਾਂਚਾ,SÁṆCHÁ
ਸੰਚਾ,SAṆCHÁ
ਸੰਚਰਣਾ,SAṆCHARṈÁ
ਸੰਚੀ,SAṆCHÍ
ਸੰਦ,SAṆD
ਸੰਦਾ,SAṆDÁ
ਸੰਦਲ,SAṆDAL
ਸੰਦਲੀ,SAṆDALÍ
ਸਨਦਲੀ,SANDALÍ
ਸਾਂਦਨ,SÁṆDAN
ਸਾਂਦਰ,SÁṆDAR
ਸੰਦਰ,SAṆDAR
ਸੰਦਾਰੀ,SAṆDÁRÍ
ਸੰਡਾਸ,SAṆDÁS
ਸਨਡਾਸ,SANḌÁS
ਸੰਡਾਸੀ,SAṆḌASÍ
ਸੰਡਾਸੀ,SAṆḌÁSÍ
ਸੰਡਾਸੀਆ,SAṆḌÁSÍÁ
ਸੰਦੇਹ,SAṆDEH
ਸਨਦੇਹ,SANDEH
ਸੰਦੇਹੀ,SAṆDEHÍ
ਸਨਦੇਹੀ,SANDEHÍ
ਸੰਦੇਸ,SAṆDES
ਸੰਦੇਸਾ,SAṆDESÁ
ਸਨਦੇਸਾ,SANDESÁ
ਸੰਦੇਸੀ,SAṆDESÍ
ਸਨਦੇਸੀ,SANDESÍ
ਸੰਢ,SAṆḌH
ਸਨਢ,SAṆDH
ਸੰਧ,SAṆDH
ਸੰਢ,SAṆḌH
ਸਾਂਢ,SÁṆḌH
ਸੰਢਾ,SAṆḌHÁ
ਸੰਢਣ,SAṆḌHAṈ
ਸੰਧਨ,SAṆDHAN
ਸੰਧੌਡ਼ਾ,SAṆDHAUṚÁ
ਸੰਧੇਵਾ,SAṆDHEWÁ
ਸੰਢੀ,SAṆḌHÍ
ਸੰਧੀ,SAṆDHÍ
ਸਾਂਧੀ,SÁṆDHÍ
ਸੰਧਿਆ,SAṆDHIÁ
ਸਨਧਿਆ,SANDHIÁ
ਸੰਧਲਾ,SAṆDHLÁ
ਸੰਢਣਾ,SAṆḌHṈÁ
ਸੰਧੂ,SAṆDHÚ
ਸਾਂਢੂ,SÁṆḌHÚ
ਸੰਧੂਰ,SAṆDHÚR
ਸਨਧੂਰ,SANDHÚR
ਸੰਧੂਰੀ,SAṆDHÚRÍ
ਸਨਧੂਰੀ,SANDHÚRÍ
ਸੰਧੂਰਣਾ,SAṆDHÚRṈÁ
ਸੰਦਰ,SAṆDR
ਸੰਦੂਕ,SAṆDÚK
ਸਨਦੂਕ,SANDÚK
ਸੰਦੂਕਚੀ,SAṆDÚKCHÍ
ਸਨਦੂਕਡ਼ੀ,SANDÚKṚÍ
ਸੰਦੂਕੀ,SAṆDÚKÍ
ਸਨੇ,SANE
ਸਨੇਹ,SANEH
ਸਨੇਹਾ,SANEHÁ
ਸਨੇਹਾਂ,SANEHÁṆ
ਸਨੇਹੀਂ,SANEHÍṆ
ਸਾਂਗ,SÁṆG
ਸੰਗ,SAṆG
ਸਾਂਗਾ,SÁṆGÁ
ਸੰਗਚਾ,SAṆGCHÁ
ਸੰਗਲ,SAṆGGAL
ਸੰਗਨ,SAṆGGAN
ਸੰਗਰ,SAṆGGAR
ਸੰਗਰੀ,SAṆGGARÍ
ਸੰਗਾਰ,SAṆGGÁR
ਸੰਗਾਰਣਾ,SAṆGGÁRṈÁ
ਸੰਗਤ,SAṆGGAT
ਸੰਗਾਊ,SAṆGGÁÚ
ਸੰਗਾਉਲਾ,SAṆGGÁULÁ
ਸੰਘ,SAṆGGH
ਸੰਘਾ,SAṆGGHÁ
ਸੰਘਰ,SAṆGGHAR
ਸੰਘਾਰ,SAṆGGHÁR
ਸੰਘਾਡ਼ਾ,SAṆGGHÁṚÁ
ਸੰਘਾਡ਼ੀ,SAṆGGHÁṚÍ
ਸੰਘਾਰਣਾ,SAṆGGHÁRṈÁ
ਸੰਘਾਸਣ,SAṆGGHÁSAṈ
ਸੰਘੀ,SAṆGGHÍ
ਸੰਘੋਟ,SAṆGGHOṬ
ਸੰਘੋਟੂ,SAṆGGHOṬÚ
ਸੰਗੀ,SAṆGGÍ
ਸਾਂਗੀ,SÁṆGGÍ
ਸੰਗੀਨ,SAṆGGÍN
ਸੰਗੀਤ,SAṆGGÍT
ਸੰਗਣਾ,SAṆGGṈÁ
ਸੰਗੋਚ,SAṆGGOCH
ਸੰਗੋਚਾ,SAṆGGOCHÁ
ਸੰਗੋਚਣਾ,SAṆGGOCHṈÁ
ਸੰਗੋਹ,SAṆGGOH
ਸੰਗੋਡ਼ਣਾ,SAṆGGOṚṈÁ
ਸੰਗਰਹਿਣੀ,SAṆGGRAHIṈÍ
ਸੰਗਰਾਂਦ,SAṆGGRÁṆD
ਸੰਗਰਾਂਤ,SAṆGGRÁṆT
ਸੰਗਤਰਾ,SAṆGGTARÁ
ਸੰਗਤਰਾਹ,SÁṆGGTARÁH
ਸੰਗਤਾਉ,SAṆGGTÁU
ਸੰਗਤਾਉਣਾ,SAṆGGTÁUṈÁ
ਸੰਗਤੀ,SAṆGGTÍ
ਸੰਗੁੱਚਣਾ,SAṆGGUCHCHṈÁ
ਸੰਗਯੇ,SAṆGGYE
ਸਾਂਘੀ,SÁṆGHÍ
ਸੰਘਣਾ,SAṆGHṈÁ
ਸੰਘਣੀ,SAṆGHṈÍ
ਸੰਘੇਲਣਾ,SAṆGHELṈÁ
ਸਾਂਗੀ,SAṆGÍ
ਸੰਗਲਾ,SAṆGLÁ
ਸੰਗਲੀ,SAṆGLÍ
ਸਾਂਗਲੀ,SÁṆGLÍ
ਸੰਗੋਲਾ,SAṆGOLÁ
ਸੰਗਰਾਮ,SAṆGRÁM
ਸੰਗਰੀ,SAṆGRÍ
ਸਾਨ੍ਹ,SÁNH
ਸਨਹਾ,SANHÁ
ਸਾਨ੍ਹਾਂ,SÁNHÁṆ
ਸਨਹੇ,SANHE
ਸਾਨ੍ਹੀਂ,SÁNHÍṆ
ਸਾਨ੍ਹਕੀ,SÁNHKÍ
ਸਣੀ,SAṈÍ
ਸਾਨੀ,SÁNÍ
ਸਨਿਆਸ,SANIÁS
ਸਨਿਆਸੀ,SANIÁSÍ
ਸਨਿੱਛਰ,SANICHCHHAR
ਸਨੀਕਣਾ,SANÍKṈÁ
ਸੰਜ,SAṆJ
ਸੰਜਾ,SAṆJÁ
ਸੰਜਾਬ,SAṆJÁB
ਸੰਜਾਫ,SAṆJÁF
ਸੰਜਾਫੀ,SAṆJÁFÍ
ਸੰਜਮ,SAṆJAM
ਸੰਜਮੀ,SAṆJAMÍ
ਸੰਝ,SAṆJH
ਸਾਂਝ,SÁṆJH
ਸਾਂਝਾ,SÁṆJHÁ
ਸਾਂਝਣ,SÁṆJHAṈ
ਸਾਂਝੀ,SÁṆJHÍ
ਸਾਂਝੂ,SÁṆJHÚ
ਸੰਝਿਆ,SAṆJHIÁ
ਸੰਜੀ,SAṆJÍ
ਸਾਂਜਣਾ,SÁṆJṈÁ
ਸੰਜੋ,SAṆJO
ਸੰਜੋਗ,SAṆJOG
ਸੰਜੋਗਣ,SAṆJOGAṈ
ਸੰਜੋਗੀ,SAṆJOGÍ
ਸੰਕਾ,SAṆKÁ
ਸਾਂਕਲ,SÁṆKAL
ਸੰਕਲਪ,SAṆKALAP
ਸੰਕਲਪਣਾ,SAṆKALAPṈÁ
ਸਾਂਕਰ,SÁṆKAR
ਸੰਕਟ,SAṆKAṬ
ਸੰਖ,SAṆKH
ਸੰਖਰਾ,SAṆKHARÁ
ਸੰਖੀਆ,SAṆKHIÁ
ਸੰਖਿਆ,SAṆKHÍÁ
ਸੰਖੀਰ,SAṆKHÍR
ਸੰਖੂ,SAṆKHÚ
ਸੰਖਣੀ,SAṆKHṆÍ
ਸੰਖਰੀ,SAṆKHRÍ
ਸੰਕੋਚ,SAṆKOCH
ਸੰਕੋਚਣ,SAṆKOCHAṈ
ਸੰਕੋਚੀ,SAṆKOCHÍ
ਸੰਕੋਚੀ,SAṆKOCHÍ
ਸਨਮਾਲੀ,SANMÁLÍ
ਸੱਨ,SANN
ਸੱਨਾ,SANNÁ
ਸੱਨਨ,SANNAN
ਸੱਨ੍ਹ,SANNH
ਸਾੱਨ੍ਹਣੀ,SÁNNHAṈÍ
ਸੱਨ੍ਹੀ,SANNHÍ
ਸੱਨੀ,SANNÍ
ਸੱਨਿਆਂ,SANNIÁṈ
ਸੱਨਿਆਸ,SANNIÁS
ਸੱਨਿਆਸੀ,SANNIÁSÍ
ਸੱਨੂ,SANNÚ
ਸਨੋਲੀ,SANOLÍ
ਸਾਂਸ,SÁṆS
ਸਾਂਸਾ,SÁṆSÁ
ਸੰਸਾ,SAṆSÁ
ਸਨਸਾਰੂ,SANSÁRÚ
ਸਨਸਿੱਕਾ,SANSIKKÁ
ਸਨਸਫੌਰ,SANSAPHAUR
ਸਨਸਪੌਰ,SANSPAUR
ਸੰਤ,SAṆT
ਸਨਤ,SANT
ਸਣਤ,SAṈT
ਸਾਂਟ,SÁṆṬ
ਸਾਂਤ,SÁṆT
ਸੰਤਣੀ,SAṆTAṈÍ
ਸਨਤਣੀ,SANTAṈÍ
ਸਣਤਣੀ,SAṈTAṈÍ
ਸੰਤਾਪ,SAṆTÁP
ਸਨਤਾਪ,SANTÁP
ਸੰਤਾਪਣ,SAṆTÁPAṈ
ਸਨਤਾਪਣ,SANTÁPAṈ
ਸੰਨਤਾਪੀ,SAṆTÁPÍ
ਸਨਤਾਪੀ,SANTÁPÍ
ਸੰਤਰਾ,SAṆTARÁ
ਸੰਤਰੀ,SAṆTARÍ
ਸਾਂਥਾ,SÁṆTHÁ
ਸੰਤਣੀ,SAṆTṈÍ
ਸੰਤੋਖ,SAṆTOKH
ਸਨਤੋਖ,SANTOKH
ਸੰਤੋਖਣ,SAṆTOKHAṈ
ਸਨਤੋਖਣ,SANTOKHAṈ
ਸੰਤੋਖੀ,SAṆTOKHÍ
ਸਾਂਟੂ,SÁṆṬÚ
ਸਨੂ,SANÚ
